1559725_28_-	sigM,yhdL,yhdK	93.103	29	2	0	55	83	1	29	8.82e-08	43.6
13210_43_-	yjcI,yjcJ	86.486	37	2	3	49	82	37	1	4.10e-06	38.1
2472446_35_-	yczE	100.000	19	0	0	73	91	18	36	1.48e-05	36.2
247834_29_-	sigX,rsiX	89.655	29	0	3	54	81	27	1	5.31e-05	34.4
1220548_59_-	yurR,yurQ,yurP,yurO,yurN,yurM,yurL	84.211	38	3	3	48	83	1	37	5.31e-05	34.4
1622307_53_-	cydA,cydB,cydC,cydD	100.000	17	0	0	34	50	35	19	1.91e-04	32.5
1559725_28_-	cydA,cydB,cydC,cydD	86.667	30	2	2	54	81	31	2	1.91e-04	32.5
863965_21_-	usd,spoIIID,mbl	83.333	36	2	4	53	87	7	39	6.86e-04	30.7
640350_34_-	ywsC,ywtA,ywtB,ywtC	83.333	36	2	4	50	83	34	1	6.86e-04	30.7
3143684_52_+	mntA,mntB,mntC,mntD	83.333	36	2	3	52	86	3	35	6.86e-04	30.7
2931918_70_+	X08035.1/3325-3361	95.000	20	0	1	68	87	19	37	6.86e-04	30.7
2901724_43_-	azlB,azlC,azlD,brnQ,yrdK	82.857	35	4	2	47	81	33	1	6.86e-04	30.7
2901684_68_+	azlB,azlC,azlD,brnQ,yrdK	82.857	35	4	2	46	80	1	33	6.86e-04	30.7
2787844_117_+	ftsA,ftsZ	88.000	25	3	0	47	71	12	36	6.86e-04	30.7
2472446_35_-	yczE	100.000	16	0	0	45	60	33	18	6.86e-04	30.7
1531712_12_-	htpG	80.952	42	5	3	46	85	1	41	6.86e-04	30.7
1310558_47_+	oppA,oppB,oppC,oppD,oppF	91.304	23	1	1	59	81	17	38	6.86e-04	30.7
1198200_56_-	splA,splB	100.000	16	0	0	80	95	44	29	6.86e-04	30.7
943163_71_+	pdhA,pdhB,pdhC,pdhD	100.000	15	0	0	71	85	23	37	0.002	28.8
936633_16_-	mtlA,mtlD	100.000	15	0	0	77	91	27	41	0.002	28.8
79880_52_-	ahpC,ahpF	100.000	15	0	0	78	92	38	52	0.002	28.8
671291_38_-	L19201.1/5703-5741	100.000	15	0	0	40	54	36	22	0.002	28.8
646152_43_-	L19201.1/5703-5741	100.000	15	0	0	79	93	24	38	0.002	28.8
640350_34_-	yfkA,yfkB,yfkC	100.000	15	0	0	39	53	41	27	0.002	28.8
640350_34_-	nagP	88.000	25	1	2	41	63	42	18	0.002	28.8
624408_41_-	ftsA,ftsZ	85.714	28	3	1	39	66	6	32	0.002	28.8
618575_46_-	valS,folC	100.000	15	0	0	78	92	32	46	0.002	28.8
61028_50_-	luxS	80.952	42	3	5	42	82	39	2	0.002	28.8
58458_32_-	abnA	100.000	15	0	0	85	99	30	44	0.002	28.8
3203887_78_+	sacB,yveB,yveA	94.737	19	0	1	31	48	1	19	0.002	28.8
3133797_113_+	yybH,yybI	94.444	18	1	0	7	24	9	26	0.002	28.8
2746495_71_-	yqhV	83.871	31	3	2	52	82	2	30	0.002	28.8
270355_72_-	ycxA	88.000	25	1	2	63	87	19	41	0.002	28.8
2699836_79_+	ybdO	100.000	15	0	0	76	90	26	40	0.002	28.8
2650234_40_+	cydA,cydB,cydC,cydD	90.476	21	2	0	43	63	35	15	0.002	28.8
2514101_62_+	ytxG,ytxH,ytxJ	100.000	15	0	0	78	92	28	42	0.002	28.8
2352947_44_-	Y00538.1/1704-1739	94.444	18	1	0	15	32	13	30	0.002	28.8
2352947_44_-	t14003.1/330369-330405	94.444	18	1	0	15	32	15	32	0.002	28.8
2319470_58_+	cysH,cysP,sat,cysC,ylnD,ylnE,ylnF	81.081	37	5	2	52	87	4	39	0.002	28.8
2143435_57_+	dctS,dctR,dctP	100.000	15	0	0	27	41	38	24	0.002	28.8
2050358_41_+	cotD	100.000	15	0	0	36	50	37	23	0.002	28.8
1997607_52_-	sacB,yveB,yveA	90.476	21	2	0	29	49	39	19	0.002	28.8
187452_65_-	yfmQ	94.444	18	1	0	69	86	22	39	0.002	28.8
1739428_42_+	trpE,trpD,trpC,trpF,trpB,trpA,hisC,tyrA,aroE	94.444	18	1	0	35	52	28	11	0.002	28.8
1709067_47_+	X13462.1/7351-7391	90.476	21	2	0	39	59	40	20	0.002	28.8
1692182_50_-	yckC	94.444	18	1	0	33	50	40	23	0.002	28.8
1692140_113_+	yckC	94.444	18	1	0	75	92	23	40	0.002	28.8
1548784_79_-	Y00538.1/1704-1739	90.909	22	0	2	17	38	2	21	0.002	28.8
1548784_79_-	t14003.1/330369-330405	90.909	22	0	2	17	38	4	23	0.002	28.8
1245006_42_-	yrvE,apt	84.375	32	2	2	50	81	29	1	0.002	28.8
1217264_44_+	yyaO	94.444	18	1	0	31	48	49	32	0.002	28.8
1191477_116_-	yfjQ	94.444	18	1	0	74	91	20	37	0.002	28.8
