2002163_77_-	yydF,yydG,yydH,yydI,yydJ	84.848	33	3	2	47	78	36	5	1.91e-04	32.5
2106324_30_+	yfjN	90.909	22	2	0	62	83	18	39	6.86e-04	30.7
1820297_65_+	yfmI,yfmJ	100.000	16	0	0	46	61	34	19	6.86e-04	30.7
1231273_31_-	yfjQ	100.000	16	0	0	72	87	18	33	6.86e-04	30.7
97886_30_-	ptb,bcd,buk,lpdV,bkdAA,bkdAB,bkdB	94.444	18	1	0	73	90	38	55	0.002	28.8
97886_30_-	nasB,nasC,nasD,nasE,nasF	88.000	25	2	1	64	87	15	39	0.002	28.8
813412_41_-	sigM,yhdL,yhdK	86.207	29	1	3	68	93	9	37	0.002	28.8
809441_50_-	yckK,yckJ,yckI	94.737	19	0	1	40	58	44	27	0.002	28.8
645089_54_-	yckC	85.714	28	2	2	65	90	13	40	0.002	28.8
640539_38_-	yfjS	88.000	25	1	2	68	91	18	41	0.002	28.8
415093_36_-	rapA,phrA	88.000	25	1	2	63	85	5	29	0.002	28.8
379806_42_-	rrnO-16S,trnO-Ile,trnO-Ala,rrnO-23S,rrnO-5S	81.579	38	4	3	44	79	39	3	0.002	28.8
341139_58_-	ycxA	88.000	25	1	2	65	89	20	42	0.002	28.8
2106324_30_+	luxS	100.000	15	0	0	71	85	29	43	0.002	28.8
1993331_51_-	med,comZ	85.714	28	3	1	56	82	2	29	0.002	28.8
1918896_46_+	qcrA,qcrB,qcrC	100.000	15	0	0	75	89	21	35	0.002	28.8
1448515_81_+	rapA,phrA	90.476	21	2	0	59	79	21	1	0.002	28.8
751917_64_-	ahpC,ahpF	90.000	20	2	0	33	52	49	30	0.009	27.0
722678_30_-	yfmQ	90.476	21	1	1	74	93	24	44	0.009	27.0
721277_34_-	pspA,ydjG,ydjH,ydjI	94.118	17	1	0	77	93	29	45	0.009	27.0
652789_37_-	yufN	100.000	14	0	0	45	58	50	37	0.009	27.0
645978_41_+	X06174.1/1416-1462	94.118	17	1	0	77	93	31	47	0.009	27.0
645089_54_-	mtrA,mtrB	100.000	14	0	0	81	94	30	43	0.009	27.0
63853_37_+	ptb,bcd,buk,lpdV,bkdAA,bkdAB,bkdB	94.444	18	0	1	75	91	41	58	0.009	27.0
572533_48_-	yfmM	83.333	30	3	2	56	83	2	31	0.009	27.0
553982_144_-	bioW,bioA,bioF,bioD,bioB,bioI,ytbQ	100.000	14	0	0	75	88	33	46	0.009	27.0
551862_56_-	X51523.1/767-826	94.118	17	1	0	15	31	27	11	0.009	27.0
467140_42_-	gspA	100.000	14	0	0	74	87	24	37	0.009	27.0
415093_36_-	spoIVA	100.000	14	0	0	72	85	26	39	0.009	27.0
290766_83_-	ahpC,ahpF	100.000	14	0	0	73	86	35	48	0.009	27.0
290766_83_-	abnA	100.000	14	0	0	79	92	44	31	0.009	27.0
24261_143_-	yqfS,yqft	100.000	14	0	0	31	44	31	44	0.009	27.0
1964801_111_+	pheB,pheA	100.000	14	0	0	71	84	13	26	0.009	27.0
1963559_75_+	comC	90.000	20	2	0	69	88	23	42	0.009	27.0
1955100_68_+	yxeF,yxeG,yxeH	94.118	17	1	0	67	83	17	1	0.009	27.0
1955098_70_+	yxeF,yxeG,yxeH	94.118	17	1	0	65	81	17	1	0.009	27.0
1876921_31_+	yvgR,yvgQ	87.500	24	2	1	77	100	21	43	0.009	27.0
185118_43_-	M83198.1/2647-2677	84.615	26	4	0	55	80	1	26	0.009	27.0
1845922_53_+	yocK	100.000	14	0	0	77	90	49	36	0.009	27.0
1600573_38_+	spoVID,ysxE	100.000	14	0	0	71	84	36	49	0.009	27.0
1600573_38_+	M87049.1/1562-1589	90.000	20	2	0	61	80	5	24	0.009	27.0
1568301_19_+	yxkJ	94.118	17	1	0	69	85	27	43	0.009	27.0
1424757_51_+	sspA	87.500	24	2	1	31	54	39	17	0.009	27.0
1392054_47_+	ybdO	87.500	24	1	2	67	89	22	44	0.009	27.0
1280961_32_+	ywsC,ywtA,ywtB,ywtC	94.444	18	0	1	46	63	39	23	0.009	27.0
1231273_31_-	cydA,cydB,cydC,cydD	94.444	18	0	1	71	88	19	35	0.009	27.0
1200190_38_+	yfiZ,yfhA	94.118	17	1	0	27	43	12	28	0.009	27.0
1184680_17_+	yqjM	94.444	18	0	1	74	91	27	43	0.009	27.0
117234_62_-	yfhG,yfhH	90.476	21	1	1	66	86	12	31	0.009	27.0
938322_66_-	yxkJ	100.000	13	0	0	73	85	30	42	0.032	25.1
931285_30_+	glpT,glpQ	86.957	23	2	1	12	33	42	20	0.032	25.1
931285_30_+	ald	93.750	16	1	0	7	22	44	29	0.032	25.1
895727_46_-	yfkE,yfkD	93.750	16	1	0	39	54	40	25	0.032	25.1
857244_67_+	yfiZ,yfhA	100.000	13	0	0	11	23	21	9	0.032	25.1
